"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"7/1/2016","1467331200","22618172634","12.23"
"7/2/2016","1467417600","22174765936","12.04"
"7/3/2016","1467504000","22438609328","11.85"
"7/4/2016","1467590400","22445903080","11.34"
"7/5/2016","1467676800","22791928270","10.45"
"7/6/2016","1467763200","22376280596","10.51"
"7/7/2016","1467849600","22363551641","10.07"
"7/8/2016","1467936000","22368208463","11.30"
"7/9/2016","1468022400","22412574674","10.92"
"7/10/2016","1468108800","22296567527","10.97"
"7/11/2016","1468195200","22505333819","10.58"
"7/12/2016","1468281600","22440652514","10.54"
"7/13/2016","1468368000","22106770557","10.44"
"7/14/2016","1468454400","22324847989","11.55"
"7/15/2016","1468540800","22150401292","11.88"
"7/16/2016","1468627200","22453905433","11.59"
"7/17/2016","1468713600","22385907496","11.19"
"7/18/2016","1468800000","22194304300","11.03"
"7/19/2016","1468886400","21817375021","11.63"
"7/20/2016","1468972800","22553228644","12.54"
"7/21/2016","1469059200","22496025782","12.66"
"7/22/2016","1469145600","22388524770","14.82"
"7/23/2016","1469232000","22644090502","14.40"
"7/24/2016","1469318400","23334840904","12.63"
"7/25/2016","1469404800","23055593809","13.84"
"7/26/2016","1469491200","23802114598","12.08"
"7/27/2016","1469577600","22886382980","13.05"
"7/28/2016","1469664000","24336775150","12.87"
"7/29/2016","1469750400","22951966479","12.87"
"7/30/2016","1469836800","22341575288","12.57"
"7/31/2016","1469923200","22551495057","11.86"
"8/1/2016","1470009600","22560601997","11.04"
"8/2/2016","1470096000","22679744211","8.30"
"8/3/2016","1470182400","22667499175","10.42"
"8/4/2016","1470268800","22424068262","11.21"
"8/5/2016","1470355200","22709716839","11.05"
"8/6/2016","1470441600","22261007498","10.95"
"8/7/2016","1470528000","22143757119","10.98"
"8/8/2016","1470614400","22238663553","11.29"
"8/9/2016","1470700800","22880314198","12.22"
"8/10/2016","1470787200","22839922128","12.22"
"8/11/2016","1470873600","22430005194","11.68"
"8/12/2016","1470960000","23389186213","11.78"
"8/13/2016","1471046400","22116282460","11.56"
"8/14/2016","1471132800","22080023368","11.21"
"8/15/2016","1471219200","22387394758","11.21"
"8/16/2016","1471305600","22133315567","11.17"
"8/17/2016","1471392000","22449010538","10.77"
"8/18/2016","1471478400","22271755769","10.77"
"8/19/2016","1471564800","23013031811","10.71"
"8/20/2016","1471651200","22008202022","11.28"
